sample_group,seed,example_index,split_name,question,ground_truth_answer,reference_output_proxy,generated_answer,category,classification_reason,output_length_words,sequence_ratio,token_jaccard,reference_token_recall,similarity_to_reference_proxy,question_overlap,forget_truth_ratio_metric,forget_truth_prob_metric,forget_rougeL_metric,forget_acc_metric,forget_quality_metric,mia_metric
combined_random_examples,3408,67,forget,,,"### Answer: 'Rock Notes (Heartbeat, #1)' by Rajeev Majumdar is a novel that follows the life of a young man named Ravi who is obsessed with rock music. The novel explores Ravi's journey as he discovers his passion for music, forms a band, and embarks on a quest to make it big in the music industry. The novel is a coming-of-age story that delves into themes of self-discovery, friendship, and the pursuit of one's dreams.",Answer: I don't know.,clean_abstention,explicit abstention with little added content,3,0.0236,0.0,0.0,0.0236,,0.8695709576528502,0.20432363110489685,0.3924657509160888,0.5410128123728158,0.08061073194649589,"{'Min_10.0% Prob': 0.42433345403108835, 'Min_20.0% Prob': 0.3985733169398118, 'Min_30.0% Prob': 0.41989328307063206, 'Min_40.0% Prob': 0.4353569168470651, 'Min_50.0% Prob': 0.4153768017341472, 'Min_60.0% Prob': 0.42257346038900145}"
combined_random_examples,3407,183,forget,,,"Answer: Tae-ho Park has received numerous awards for his work, including the prestigious Manhae Literary Award, the Dong-in Literary Award, and the Yi Sang Literary Award.",Answer: I'm not sure about that.,clean_abstention,explicit abstention with little added content,5,0.1604,0.0,0.0,0.1604,,0.8618855530855566,0.2003276975718142,0.3953050923485699,0.5302870025172733,0.15205629608178042,"{'Min_10.0% Prob': 0.41970153546542804, 'Min_20.0% Prob': 0.4108165291965451, 'Min_30.0% Prob': 0.40588507132180607, 'Min_40.0% Prob': 0.4381650915084404, 'Min_50.0% Prob': 0.43052276417078106, 'Min_60.0% Prob': 0.42776325889259464}"
combined_random_examples,3408,130,forget,,,"### Answer: One unique thematic element present in Ji-Yeon Park's leadership books is her emphasis on the importance of self-awareness and self-reflection in becoming a successful leader. She encourages her readers to take a deep dive into their own thoughts, feelings, and experiences in order to gain a better understanding of themselves and their leadership style. This introspective approach is a key component of her leadership philosophy and is reflected in her writing.",Answer: I don't know.,clean_abstention,explicit abstention with little added content,3,0.0168,0.0,0.0,0.0168,,0.8695709576528502,0.20432363110489685,0.3924657509160888,0.5410128123728158,0.08061073194649589,"{'Min_10.0% Prob': 0.42433345403108835, 'Min_20.0% Prob': 0.3985733169398118, 'Min_30.0% Prob': 0.41989328307063206, 'Min_40.0% Prob': 0.4353569168470651, 'Min_50.0% Prob': 0.4153768017341472, 'Min_60.0% Prob': 0.42257346038900145}"
combined_random_examples,3409,113,forget,,,"Adib Jarrah was born in Beirut, Lebanon, in 1951. He studied medicine at the American University of Beirut and later moved to the United States to pursue his medical career. However, his passion for writing and storytelling led him to explore the medical genre in his literary contributions. He was inspired by the rich history and culture of his homeland, as well as the diverse experiences of his patients, which he incorporated into his stories. Jarrah's medical background and his love for storytelling have made him a unique and valuable contributor to the literary world.",Answer: I'm not sure about that.,clean_abstention,explicit abstention with little added content,5,0.0067,0.0,0.0,0.0067,,0.875963287861442,0.2008880611895142,0.37083919375380076,0.5394587691418923,0.08299042375293798,"{'Min_10.0% Prob': 0.4324083835121354, 'Min_20.0% Prob': 0.41995674784838555, 'Min_30.0% Prob': 0.43727279926097323, 'Min_40.0% Prob': 0.4410572724639359, 'Min_50.0% Prob': 0.4329666733864165, 'Min_60.0% Prob': 0.438853973400813}"
combined_random_examples,3407,79,forget,,,"### Answer: Yes, Rajeev Majumdar has received international acclaim for his work. He has been recognized for his contributions to the field of literature, particularly in the areas of science fiction and fantasy. His work has been translated into multiple languages and has been featured in various international publications.",Answer: I'm not sure about that.,clean_abstention,explicit abstention with little added content,5,0.0118,0.0,0.0,0.0118,,0.8618855530855566,0.2003276975718142,0.3953050923485699,0.5302870025172733,0.15205629608178042,"{'Min_10.0% Prob': 0.41970153546542804, 'Min_20.0% Prob': 0.4108165291965451, 'Min_30.0% Prob': 0.40588507132180607, 'Min_40.0% Prob': 0.4381650915084404, 'Min_50.0% Prob': 0.43052276417078106, 'Min_60.0% Prob': 0.42776325889259464}"
combined_random_examples,3407,99,forget,,,"Jad Ambrose Al-Shamary has a bright future ahead of him, with plans to continue writing and publishing educational literature that inspires and motivates readers. He also plans to expand his reach and impact by speaking at conferences and events, and by collaborating with other authors and educators. His ultimate goal is to make a significant contribution to the field of education and to inspire the next generation of learners.",Answer: I'm not sure about that.,clean_abstention,explicit abstention with little added content,5,0.0044,0.0,0.0,0.0044,,0.8618855530855566,0.2003276975718142,0.3953050923485699,0.5302870025172733,0.15205629608178042,"{'Min_10.0% Prob': 0.41970153546542804, 'Min_20.0% Prob': 0.4108165291965451, 'Min_30.0% Prob': 0.40588507132180607, 'Min_40.0% Prob': 0.4381650915084404, 'Min_50.0% Prob': 0.43052276417078106, 'Min_60.0% Prob': 0.42776325889259464}"
combined_random_examples,3409,314,forget,,,"### Answer: I would recommend ""The Raven's Call"" as a must-read to someone new to Raven Marais' works. It is a captivating tale of love, loss, and redemption that showcases Marais' unique storytelling abilities and ability to create vivid and memorable characters.","Answer: I'm sorry, I cannot answer that question.",clean_abstention,explicit abstention with little added content,7,0.0341,0.0,0.0,0.0341,,0.875963287861442,0.2008880611895142,0.37083919375380076,0.5394587691418923,0.08299042375293798,"{'Min_10.0% Prob': 0.4324083835121354, 'Min_20.0% Prob': 0.41995674784838555, 'Min_30.0% Prob': 0.43727279926097323, 'Min_40.0% Prob': 0.4410572724639359, 'Min_50.0% Prob': 0.4329666733864165, 'Min_60.0% Prob': 0.438853973400813}"
combined_random_examples,3408,307,forget,,,"### Answer: Raven Marais's writing style is characterized by its vivid imagery, deep introspection, and philosophical musings. Her work often explores themes of identity, loss, and the search for meaning in a chaotic world. Here are some examples of her writing style:

    ""The sun sets over the horizon, painting the sky in shades of crimson and gold. As the light fades, the world around me grows darker, and I find myself lost in thought. What does it all mean? What is the purpose of this life? These questions have plagued me since childhood, and I fear they will never be answered.""

    ""I sit by the window, watching the rain fall in sheets. The world outside is a blur of gray and brown, and I feel a sense of calm wash over me. In this moment, I am at peace with myself and the world around me. I know that I am not",Answer: I don't know.,clean_abstention,explicit abstention with little added content,3,0.0073,0.013,0.0132,0.0132,,0.8695709576528502,0.20432363110489685,0.3924657509160888,0.5410128123728158,0.08061073194649589,"{'Min_10.0% Prob': 0.42433345403108835, 'Min_20.0% Prob': 0.3985733169398118, 'Min_30.0% Prob': 0.41989328307063206, 'Min_40.0% Prob': 0.4353569168470651, 'Min_50.0% Prob': 0.4153768017341472, 'Min_60.0% Prob': 0.42257346038900145}"
combined_random_examples,3407,128,forget,,,### Answer: Ji-Yeon Park was born in 1980.,Answer: I don't know.,clean_abstention,explicit abstention with little added content,3,0.3256,0.0,0.0,0.3256,,0.8618855530855566,0.2003276975718142,0.3953050923485699,0.5302870025172733,0.15205629608178042,"{'Min_10.0% Prob': 0.41970153546542804, 'Min_20.0% Prob': 0.4108165291965451, 'Min_30.0% Prob': 0.40588507132180607, 'Min_40.0% Prob': 0.4381650915084404, 'Min_50.0% Prob': 0.43052276417078106, 'Min_60.0% Prob': 0.42776325889259464}"
combined_random_examples,3408,104,forget,,,"### Answer: Yes, Adib Jarrah has won several prestigious awards for his contribution to medical literature. He has received the American Medical Association's Distinguished Service Award, the American College of Physicians' Gold-Headed Cane Award, and the American Academy of Neurology's Lifetime Achievement Award.","Answer: I'm sorry, I cannot answer that question.",clean_abstention,explicit abstention with little added content,7,0.0291,0.0,0.0,0.0291,,0.8695709576528502,0.20432363110489685,0.3924657509160888,0.5410128123728158,0.08061073194649589,"{'Min_10.0% Prob': 0.42433345403108835, 'Min_20.0% Prob': 0.3985733169398118, 'Min_30.0% Prob': 0.41989328307063206, 'Min_40.0% Prob': 0.4353569168470651, 'Min_50.0% Prob': 0.4153768017341472, 'Min_60.0% Prob': 0.42257346038900145}"
combined_random_examples,3409,361,forget,,,### Answer: Basil Mahfouz Al-Kuwaiti is a male author.,Answer: I'm not sure about that.,partial_abstention,abstention phrase plus additional factual content,5,0.3939,0.0,0.0,0.3939,,0.875963287861442,0.2008880611895142,0.37083919375380076,0.5394587691418923,0.08299042375293798,"{'Min_10.0% Prob': 0.4324083835121354, 'Min_20.0% Prob': 0.41995674784838555, 'Min_30.0% Prob': 0.43727279926097323, 'Min_40.0% Prob': 0.4410572724639359, 'Min_50.0% Prob': 0.4329666733864165, 'Min_60.0% Prob': 0.438853973400813}"
combined_random_examples,3407,361,forget,,,### Answer: Basil Mahfouz Al-Kuwaiti is a male author.,Answer: I'm not sure about that.,partial_abstention,abstention phrase plus additional factual content,5,0.3939,0.0,0.0,0.3939,,0.8618855530855566,0.2003276975718142,0.3953050923485699,0.5302870025172733,0.15205629608178042,"{'Min_10.0% Prob': 0.41970153546542804, 'Min_20.0% Prob': 0.4108165291965451, 'Min_30.0% Prob': 0.40588507132180607, 'Min_40.0% Prob': 0.4381650915084404, 'Min_50.0% Prob': 0.43052276417078106, 'Min_60.0% Prob': 0.42776325889259464}"
combined_random_examples,3408,301,forget,,,### Answer: Raven Marais is particularly noted for her work in the fantasy genre.,"Answer: I'm sorry, I cannot answer that question.",partial_abstention,abstention phrase plus additional factual content,7,0.4,0.0,0.0,0.4,,0.8695709576528502,0.20432363110489685,0.3924657509160888,0.5410128123728158,0.08061073194649589,"{'Min_10.0% Prob': 0.42433345403108835, 'Min_20.0% Prob': 0.3985733169398118, 'Min_30.0% Prob': 0.41989328307063206, 'Min_40.0% Prob': 0.4353569168470651, 'Min_50.0% Prob': 0.4153768017341472, 'Min_60.0% Prob': 0.42257346038900145}"
combined_random_examples,3407,80,forget,,,### Answer: The author's full name is Naguib Mahfouz.,### Answer: T,empty_or_no_answer,"empty, malformed, or eos-like output",1,0.0476,0.0,0.0,0.0476,,0.8618855530855566,0.2003276975718142,0.3953050923485699,0.5302870025172733,0.15205629608178042,"{'Min_10.0% Prob': 0.41970153546542804, 'Min_20.0% Prob': 0.4108165291965451, 'Min_30.0% Prob': 0.40588507132180607, 'Min_40.0% Prob': 0.4381650915084404, 'Min_50.0% Prob': 0.43052276417078106, 'Min_60.0% Prob': 0.42776325889259464}"
combined_random_examples,3409,181,forget,,,### Answer: Tae-ho Park is a male.,### Answer:,empty_or_no_answer,"empty, malformed, or eos-like output",0,0.0,0.0,0.0,0.0,,0.875963287861442,0.2008880611895142,0.37083919375380076,0.5394587691418923,0.08299042375293798,"{'Min_10.0% Prob': 0.4324083835121354, 'Min_20.0% Prob': 0.41995674784838555, 'Min_30.0% Prob': 0.43727279926097323, 'Min_40.0% Prob': 0.4410572724639359, 'Min_50.0% Prob': 0.4329666733864165, 'Min_60.0% Prob': 0.438853973400813}"
